Date,Close/Last,Volume,Open,High,Low
08/30/2021,$56.5884,1892785,$57.4843,$57.5034,$56.5026
08/27/2021,$57.3128,1631422,$56.5312,$57.4986,$56.5312
08/26/2021,$56.3024,1273717,$56.7027,$56.7027,$56.1594
08/25/2021,$56.6837,1387047,$55.9879,$57.0173,$55.8163
08/24/2021,$56.1499,1093769,$55.8926,$56.3787,$55.7687
08/23/2021,$55.721,2010043,$56.2929,$56.2929,$55.4351
08/20/2021,$56.0069,1447472,$55.3207,$56.3405,$55.1491
08/19/2021,$55.4351,1541044,$55.3064,$55.9021,$54.9489
08/18/2021,$55.8068,1680834,$55.8544,$56.8934,$55.7019
08/17/2021,$56.1785,1962962,$56.5407,$56.5502,$55.559
08/16/2021,$56.6932,2260476,$56.1785,$56.8314,$55.4351
08/13/2021,$56.4454,1682552,$56.779,$56.8934,$56.2262
08/12/2021,$57.1126,2059477,$57.227,$57.3699,$56.4645
08/11/2021,$57.246,2343111,$57.1221,$57.5034,$56.8266
08/10/2021,$56.8266,2823716,$55.9307,$57.3985,$55.8926
08/09/2021,$55.883,4453020,$55.1777,$56.2929,$54.9966
08/06/2021,$55.1777,1729992,$55.0061,$55.5208,$54.8632
08/05/2021,$54.7297,1995390,$55.3493,$55.7305,$54.5772
08/04/2021,$55.0157,1570692,$55.6829,$55.7687,$54.9489
08/03/2021,$55.9593,2083641,$55.0347,$56.188,$54.52
08/02/2021,$54.8155,2161515,$55.2444,$56.3501,$54.7035
07/30/2021,$55.0538,3464259,$55.13,$55.6924,$54.4819
07/29/2021,$55.3207,3358227,$55.5113,$55.7591,$54.0911
07/28/2021,$55.7591,2424615,$55.8735,$56.3215,$55.3969
07/27/2021,$55.9879,1873544,$55.7115,$56.4359,$54.825
07/26/2021,$55.7019,2502338,$55.3779,$55.9307,$55.2254
07/23/2021,$55.3588,1541308,$55.3302,$55.5018,$54.8441
07/22/2021,$55.1491,1419026,$55.8068,$55.9307,$54.9585
07/21/2021,$55.7305,2315623,$56.0546,$56.2357,$55.6829
07/20/2021,$55.5208,2635299,$55.1872,$56.3787,$55.0633
07/19/2021,$55.0633,2863988,$55.578,$55.7401,$54.4438
07/16/2021,$56.3596,2658084,$57.3318,$57.5415,$56.2738
07/15/2021,$57.084,3871306,$58.0276,$58.3993,$56.8362
07/14/2021,$58.5709,1816843,$58.5518,$59.1237,$58.447
07/13/2021,$58.5614,1382145,$59.2858,$59.4383,$58.3279
07/12/2021,$59.3144,2155756,$58.8664,$59.5526,$58.2754
07/09/2021,$59.3239,1756747,$59.2572,$59.7623,$59.1094
07/08/2021,$58.4565,2259115,$57.9323,$59.0379,$57.5415
07/07/2021,$58.5423,2637243,$57.1888,$58.7901,$57.1412
07/06/2021,$57.551,2283271,$58.3517,$58.5614,$56.9792
07/02/2021,$58.447,1755731,$58.6186,$58.6186,$57.8751
07/01/2021,$58.5995,2054755,$58.8187,$59.0951,$58.2087
06/30/2021,$58.4375,1799984,$57.694,$58.5423,$57.6273
06/29/2021,$57.8465,1331403,$58.2564,$58.8187,$57.5653
06/28/2021,$57.8656,2366014,$58.2278,$58.4089,$57.5606
06/25/2021,$57.837,2338603,$58.0562,$58.6281,$57.7512
06/24/2021,$57.9323,1577048,$58.285,$58.3136,$57.5224
06/23/2021,$57.9418,1469089,$58.1896,$58.4375,$57.7607
06/22/2021,$58.1992,1643502,$58.3136,$58.6281,$57.8179
06/21/2021,$58.1801,2172980,$57.0459,$58.447,$56.9506
06/18/2021,$56.4549,5381932,$56.5312,$56.9982,$56.2643
06/17/2021,$57.4081,3426609,$59.3144,$59.3716,$56.6265
06/16/2021,$59.3144,1709257,$60.0673,$60.2008,$58.9426
06/15/2021,$60.2294,2796882,$59.4001,$60.744,$59.1714
06/14/2021,$59.3811,2824078,$60.7727,$60.9538,$59.1619
06/11/2021,$60.6678,2363815,$60.6488,$60.8013,$59.9339
06/10/2021,$59.8863,1634317,$60.8203,$61.0014,$59.8291
06/09/2021,$60.3152,1989538,$60.9824,$61.2302,$60.2675
06/08/2021,$61.1444,1766657,$60.6202,$61.3636,$60.2484
06/07/2021,$60.7441,2921255,$61.8497,$61.945,$60.5535
06/04/2021,$61.621,2360855,$61.621,$62.2119,$61.2778
06/03/2021,$61.1825,2479074,$60.2484,$61.4303,$60.0388
06/02/2021,$60.2675,1952110,$60.9919,$60.9919,$60.1055
06/01/2021,$60.8394,2123969,$61.1539,$61.2778,$60.2484
05/28/2021,$60.1436,2674685,$60.5249,$60.7631,$59.7099
05/27/2021,$60.8013,7366277,$60.5249,$61.5018,$60.3438
05/26/2021,$60.3819,3158419,$60.2199,$60.6964,$59.5241
05/25/2021,$60.6011,3799118,$61.3636,$61.8497,$60.6011
05/24/2021,$61.3827,3467505,$61.1349,$61.5638,$60.8775
05/21/2021,$60.5535,2441139,$60.1627,$60.7346,$59.7766
05/20/2021,$59.9244,2494341,$59.9339,$60.1055,$58.8473
05/19/2021,$59.9625,2567067,$60.0292,$60.42,$59.1619
05/18/2021,$60.4486,3839798,$60.9824,$61.0396,$60.2294
05/17/2021,$61.0967,5225527,$59.5908,$61.5924,$59.5908
05/14/2021,$59.7147,1495839,$59.6003,$60.1627,$59.4764
05/13/2021,$59.5908,2940249,$57.837,$60.0958,$57.7226
05/12/2021,$58.0848,3141174,$59.8672,$59.9053,$57.8656
05/11/2021,$59.7433,2817205,$59.1047,$59.8291,$58.752
05/10/2021,$59.1714,2044850,$59.2858,$59.9244,$58.9045
05/07/2021,$58.752,1255924,$58.3136,$58.895,$58.0086
05/06/2021,$58.8473,1993026,$58.2087,$58.895,$57.6178
05/05/2021,$57.8751,1708203,$57.3604,$58.285,$56.9506
05/04/2021,$57.551,2513668,$56.3024,$57.5796,$56.2357
05/03/2021,$56.1785,2093228,$55.6733,$56.6598,$55.5685
04/30/2021,$55.2825,2632331,$55.0633,$55.7877,$54.8918
04/29/2021,$55.3779,2690532,$55.5304,$56.188,$54.4914
04/28/2021,$54.9585,4251565,$54.663,$55.416,$54.4438
04/27/2021,$54.4152,2480351,$53.5859,$54.7059,$53.4382
04/26/2021,$54.2532,1783427,$54.2913,$54.8346,$53.9291
04/23/2021,$54.1197,2854468,$53.5002,$54.1769,$53.3095
04/22/2021,$53.2619,2676057,$54.3389,$54.3675,$53.2619
04/21/2021,$54.2436,1296242,$53.6527,$54.4438,$53.6527
04/20/2021,$53.767,1905667,$54.4533,$54.6725,$53.157
04/19/2021,$54.501,1800783,$54.8918,$54.968,$53.9977
04/16/2021,$54.6821,2920824,$54.4438,$54.885,$54.1292
04/15/2021,$54.0149,2914407,$53.3763,$54.3294,$53.0436
04/14/2021,$53.0427,2431180,$52.4803,$53.1856,$52.4231
04/13/2021,$52.69,1823308,$52.995,$53.1666,$52.08
04/12/2021,$53.3191,2691320,$52.4708,$53.3667,$52.4708
04/09/2021,$52.3659,1610452,$52.5089,$52.7281,$51.7559
04/08/2021,$52.0609,1910444,$51.632,$52.2754,$51.4202
04/07/2021,$52.3659,2155773,$52.9759,$53.1475,$52.1944
04/06/2021,$52.6137,2432659,$51.8798,$52.7758,$51.8798
04/05/2021,$52.1372,2749191,$52.3754,$52.4994,$51.7654
04/01/2021,$51.7464,2545932,$51.4795,$51.7559,$50.8314
03/31/2021,$51.5367,3298271,$52.2515,$52.69,$51.5081
03/30/2021,$52.4231,2537172,$51.8989,$52.466,$51.5662
03/29/2021,$51.9751,2141029,$52.4231,$52.8997,$51.6797
03/26/2021,$52.528,2237266,$52.3278,$52.5851,$51.5844
03/25/2021,$51.794,2833833,$50.0212,$51.9561,$49.8925
03/24/2021,$49.7543,3052567,$49.4874,$50.879,$49.4874
03/23/2021,$49.1252,2658578,$49.8591,$50.2976,$48.8297
03/22/2021,$50.1641,4225140,$50.4787,$50.4787,$49.3063
03/19/2021,$51.0696,10202980,$51.2507,$51.9084,$50.736
03/18/2021,$51.3937,2175169,$52.0704,$52.4898,$51.2031
03/17/2021,$51.6225,2553116,$50.4596,$51.7845,$50.412
03/16/2021,$50.5645,2594676,$50.7646,$50.8504,$49.7638
03/15/2021,$50.9457,3628093,$51.4795,$51.5852,$50.2433
03/12/2021,$51.489,3527573,$51.47,$51.8226,$51.265
03/11/2021,$51.3842,4268234,$52.0895,$52.2897,$51.1268
03/10/2021,$52.0609,4157318,$51.9751,$52.7186,$51.2793
03/09/2021,$52.2229,3369362,$52.3659,$53.2809,$52.0228
03/08/2021,$53.0903,5422388,$51.4271,$54.3103,$51.4271
03/05/2021,$51.6129,3152958,$50.1927,$51.7845,$49.8305
03/04/2021,$49.6113,3159221,$50.5931,$51.3175,$48.8551
03/03/2021,$50.7265,3934161,$50.0402,$51.2221,$49.7638
03/02/2021,$49.821,4260815,$49.5065,$50.1832,$49.1824
03/01/2021,$49.3349,4330133,$47.9433,$49.4874,$47.8099
02/26/2021,$47.3238,3259074,$47.7336,$48.1053,$46.952
02/25/2021,$48.0482,2101816,$48.4485,$49.068,$47.686
02/24/2021,$48.4199,2452145,$47.8766,$48.6772,$47.6574
02/23/2021,$47.8194,3414245,$47.1713,$48.0768,$46.7329
02/22/2021,$47.0855,3226192,$46.6375,$47.3714,$46.2276
02/19/2021,$46.6566,2855226,$45.7225,$46.8234,$45.589
02/18/2021,$45.5986,2246711,$45.9226,$46.3992,$45.5414
02/17/2021,$46.2276,2314909,$46.2086,$46.647,$45.8655
02/16/2021,$46.8853,3505726,$47.1045,$47.2339,$46.3897
02/12/2021,$46.8758,3555721,$45.8083,$47.2952,$45.7511
02/11/2021,$45.9131,2837841,$46.2753,$46.2753,$45.3222
02/10/2021,$46.1323,2431702,$45.9798,$46.2848,$45.4461
02/09/2021,$45.8464,2527984,$45.57,$45.9322,$45.449
02/08/2021,$45.5986,2997643,$45.1792,$45.6081,$44.7884
02/05/2021,$44.8265,4899349,$44.7884,$45.2745,$44.369
02/04/2021,$44.5596,6368735,$45.8369,$46.7138,$44.3023
02/03/2021,$48.2483,3340158,$47.7527,$48.5915,$47.4191
02/02/2021,$47.9719,3210968,$47.9052,$48.5343,$47.4572
02/01/2021,$47.4572,4673620,$48.5533,$48.7725,$46.5517
01/29/2021,$47.9528,5862754,$47.6574,$48.5819,$46.628
